"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
2284,68.4,68.4,31.6,"Mont-Vully (FR)","A Mont-Vully, les habitants disent oui à 68,4 pour cent à l'initiative pour une 13 rente AVS. Mont-Vully a approuvé l'initiative, tout comme son canton."
2292,48.5,48.5,51.5,"Brünisried (FR)","Les habitants de Brünisried rejettent l'initiative pour le versement d'une 13e rente AVS avec 51,5 pour cent de non. Brünisried a rejeté l'initiative, contrairement à son canton."
2293,58.6,58.6,41.4,"Guin (FR)","L'initiative pour le versement d'une 13e rente AVS passe la rampe à Guin avec 58,6 pour cent de oui. Guin a approuvé l'initiative, tout comme son canton."
2294,70.6,70.6,29.4,"Chevrilles (FR)","Les électeurs de Chevrilles valident l'initiative pour le versement d'une 13e rente AVS avec 70,6 pour cent des voix. Chevrilles a approuvé l'initiative, tout comme son canton."
2295,57.2,57.2,42.8,"Bösingen (FR)","A Bösingen, les habitants sont favorables à l'initiative pour le versement d'une 13e rente AVS avec 57,2 pour cent des suffrages. Bösingen a approuvé l'initiative, tout comme son canton."
2296,52,52,48,"Heitenried (FR)","A Heitenried, les habitants disent oui à 52 pour cent à l'initiative pour une 13 rente AVS. Heitenried a approuvé l'initiative, tout comme son canton."
2299,66.2,66.2,33.8,"Planfayon (FR)","Les électeurs de Planfayon valident l'initiative pour le versement d'une 13e rente AVS avec 66,2 pour cent des voix. Planfayon a approuvé l'initiative, tout comme son canton."
2300,64.2,64.2,35.8,"Plasselb (FR)","Les habitants de Plasselb approuvent l'initiative pour le versement d'une 13e rente AVS avec 64,2 pour cent des voix. Plasselb a approuvé l'initiative, tout comme son canton."
2301,57.1,57.1,42.9,"Dirlaret (FR)","Les électeurs de Dirlaret valident l'initiative pour le versement d'une 13e rente AVS avec 57,1 pour cent des voix. Dirlaret a approuvé l'initiative, tout comme son canton."
2303,61.6,61.6,38.4,"Saint-Silvestre (FR)","Les habitants de Saint-Silvestre acceptent l'initiative pour le versement d'une 13e rente AVS avec 61,6 pour cent de oui. Saint-Silvestre a approuvé l'initiative, tout comme son canton."
2304,47.1,47.1,52.9,"Saint-Ours (FR)","L'initiative pour le versement d'une 13e rente AVS ne passe pas la rampe à Saint-Ours avec 52,9 pour cent de non. Saint-Ours a rejeté l'initiative, contrairement à son canton."
2305,55.6,55.6,44.4,"Schmitten (FR)","Les habitants de Schmitten (FR) approuvent l'initiative pour le versement d'une 13e rente AVS avec 55,6 pour cent des voix. Schmitten (FR) a approuvé l'initiative, tout comme son canton."
2306,53.9,53.9,46.1,"Tavel (FR)","Les électeurs de Tavel valident l'initiative pour le versement d'une 13e rente AVS avec 53,9 pour cent des voix. Tavel a approuvé l'initiative, tout comme son canton."
2307,64.3,64.3,35.7,"Tinterin (FR)","Les habitants de Tinterin approuvent l'initiative pour le versement d'une 13e rente AVS avec 64,3 pour cent des voix. Tinterin a approuvé l'initiative, tout comme son canton."
2308,58.3,58.3,41.7,"Ueberstorf (FR)","A Ueberstorf, les habitants disent oui à 58,3 pour cent à l'initiative pour une 13 rente AVS. Ueberstorf a approuvé l'initiative, tout comme son canton."
2309,57.5,57.5,42.5,"Wünnewil-Flamatt (FR)","L'initiative pour le versement d'une 13e rente AVS passe la rampe à Wünnewil-Flamatt avec 57,5 pour cent de oui. Wünnewil-Flamatt a approuvé l'initiative, tout comme son canton."
2321,77.9,77.9,22.1,"Attalens (FR)","L'initiative pour le versement d'une 13e rente AVS passe la rampe à Attalens avec 77,9 pour cent de oui. Attalens a approuvé l'initiative, tout comme son canton."
2323,81.8,81.8,18.2,"Bossonnens (FR)","C'est oui à 81,8 pour cent à l'initiative pour le versement d'une 13e rente AVS à Bossonnens. Bossonnens a approuvé l'initiative, tout comme son canton."
2325,76.9,76.9,23.1,"Châtel-Saint-Denis (FR)","L'initiative pour le versement d'une 13e rente AVS passe la rampe à Châtel-Saint-Denis avec 76,9 pour cent de oui. Châtel-Saint-Denis a approuvé l'initiative, tout comme son canton."
2328,81.5,81.5,18.5,"Granges (Veveyse) (FR)","A Granges (Veveyse), les habitants disent oui à 81,5 pour cent à l'initiative pour une 13 rente AVS. Granges (Veveyse) a approuvé l'initiative, tout comme son canton."
2333,75.7,75.7,24.3,"Remaufens (FR)","Les électeurs de Remaufens valident l'initiative pour le versement d'une 13e rente AVS avec 75,7 pour cent des voix. Remaufens a approuvé l'initiative, tout comme son canton."
2335,73.1,73.1,26.9,"Saint-Martin (FR)","L'initiative pour le versement d'une 13e rente AVS passe la rampe à Saint-Martin (FR) avec 73,1 pour cent de oui. Saint-Martin (FR) a approuvé l'initiative, tout comme son canton."
2336,79.6,79.6,20.4,"Semsales (FR)","C'est oui à 79,6 pour cent à l'initiative pour le versement d'une 13e rente AVS à Semsales. Semsales a approuvé l'initiative, tout comme son canton."
2337,79.9,79.9,20.1,"Le Flon (FR)","Au Flon, les habitants sont favorables à l'initiative pour le versement d'une 13e rente AVS avec 79,9 pour cent des suffrages. Le Flon a approuvé l'initiative, tout comme son canton."
2338,74,74,26,"La Verrerie (FR)","Les habitants de La Verrerie approuvent l'initiative pour le versement d'une 13e rente AVS avec 74 pour cent des voix. La Verrerie a approuvé l'initiative, tout comme son canton."
